Country,value,type,q pts
Honduras,-0.59,Voice and Accountability index,1.53
Hong Kong,-0.21,Voice and Accountability index,1.086
Hungary,0.4,Voice and Accountability index,1.644
Iceland,1.37,Voice and Accountability index,0.966
India,0.11,Voice and Accountability index,0.941
Indonesia¬†Dutch East Indies,0.16,Voice and Accountability index,0.937
Iran,-1.47,Voice and Accountability index,2.13
Iraq,-0.96,Voice and Accountability index,1.63
Republic of Ireland¬†Ireland¬†Irish Free State,1.43,Voice and Accountability index,1.477
"Israel¬†Palestine, British Mandate",0.68,Voice and Accountability index,1.288
Italy,1.1,Voice and Accountability index,2.237
Ivory Coast,-0.47,Voice and Accountability index,1.917
Jamaica,0.63,Voice and Accountability index,1.263
Japan,1.08,Voice and Accountability index,2
Jordan,-0.8,Voice and Accountability index,1.436
Kazakhstan,-1.14,Voice and Accountability index,0.735
Kenya,-0.37,Voice and Accountability index,1.23
Kuwait,-0.7,Voice and Accountability index,1.703
Kyrgyzstan,-0.61,Voice and Accountability index,1.282
Laos,-1.68,Voice and Accountability index,0.464
Latvia,0.91,Voice and Accountability index,0.953
Lebanon,-0.63,Voice and Accountability index,1.208
Lesotho,-0.02,Voice and Accountability index,0.615
Liberia,-0.02,Voice and Accountability index,1
Libya,-1.46,Voice and Accountability index,1.339
Lithuania,1.04,Voice and Accountability index,0.864
Macau,-0.53,Voice and Accountability index,0.378
Madagascar,-0.27,Voice and Accountability index,1.143
Malawi,0.08,Voice and Accountability index,0.985
Malaysia,-0.15,Voice and Accountability index,1.188
Maldives,-0.24,Voice and Accountability index,0.75
Mali,-0.78,Voice and Accountability index,1.458
Malta,1.08,Voice and Accountability index,0.188
Mauritania,-0.77,Voice and Accountability index,0.5
Mauritius,0.66,Voice and Accountability index,0.3
Mexico,-0.07,Voice and Accountability index,2.138
Moldova,0.05,Voice and Accountability index,0.412
Mongolia,0.32,Voice and Accountability index,0.792
Montenegro,0.17,Voice and Accountability index,1.3
Morocco,-0.61,Voice and Accountability index,1.79
Mozambique,-0.61,Voice and Accountability index,1
Namibia,0.57,Voice and Accountability index,0.94
Nepal,-0.09,Voice and Accountability index,0.579
Netherlands,1.5,Voice and Accountability index,2.17
New Zealand,1.62,Voice and Accountability index,1.882
Nicaragua,-1.29,Voice and Accountability index,1.12
Niger,-0.39,Voice and Accountability index,1.083
Nigeria,-0.64,Voice and Accountability index,1.946
North Korea,-2.07,Voice and Accountability index,1.639
North Macedonia¬†Macedonia,0.14,Voice and Accountability index,1.042
Norway,1.75,Voice and Accountability index,1.324
Oman,-1.19,Voice and Accountability index,1.568
Pakistan,-0.84,Voice and Accountability index,0.125
Palestine,-1.11,Voice and Accountability index,1.265
Panama,0.55,Voice and Accountability index,1.228
Papua New Guinea,0.02,Voice and Accountability index,1.269
Paraguay,0.01,Voice and Accountability index,1.419
Peru,0.18,Voice and Accountability index,1.137
Philippines,-0.15,Voice and Accountability index,0.897
Poland,0.59,Voice and Accountability index,1.75
Portugal,1.26,Voice and Accountability index,1.906
Puerto Rico,0.51,Voice and Accountability index,0.966
Qatar,-1.17,Voice and Accountability index,1.617
Republic of Ireland¬†Ireland¬†Irish Free State,-1.24,Voice and Accountability index,1.477
Romania,0.6,Voice and Accountability index,1.775
Russia¬†Soviet Union,-1.1,Voice and Accountability index,2.112
Rwanda,-0.96,Voice and Accountability index,0.773
S√£o Tom√© and Pr√≠ncipe,0.35,Voice and Accountability index,0.7
Saint Lucia,0.86,Voice and Accountability index,0.917
Saint Vincent and the Grenadines,0.88,Voice and Accountability index,0.855
Saudi Arabia,-1.59,Voice and Accountability index,2.022
Senegal,0.19,Voice and Accountability index,1.676
Serbia¬†Serbia and Montenegro¬†FR Yugoslavia¬†SFR Yugoslavia¬†Kingdom of Yugoslavia,-0.12,Voice and Accountability index,2.029
Seychelles,0.64,Voice and Accountability index,0.125
Sierra Leone,-0.06,Voice and Accountability index,0.957
Singapore,-0.14,Voice and Accountability index,0.974
Slovakia,0.91,Voice and Accountability index,1.676
Slovenia,0.91,Voice and Accountability index,1.444
Solomon Islands,0.47,Voice and Accountability index,1.368
Somalia,-1.75,Voice and Accountability index,0.462
South Africa,0.79,Voice and Accountability index,1.875
South Korea,0.93,Voice and Accountability index,2.126
Spain,1.01,Voice and Accountability index,2.296
Sri Lanka,-0.07,Voice and Accountability index,0.462
Sudan,-1.47,Voice and Accountability index,0.958
Suriname¬†Dutch Guiana,0.38,Voice and Accountability index,1.159
Sweden,1.51,Voice and Accountability index,1.979
Switzerland,1.55,Voice and Accountability index,1.721
Syria,-1.92,Voice and Accountability index,1.52
Tajikistan,-1.71,Voice and Accountability index,1.341
Tanzania,-0.71,Voice and Accountability index,1
Thailand,-0.79,Voice and Accountability index,1.021
Togo,-0.79,Voice and Accountability index,1.254
Tonga,0.73,Voice and Accountability index,1
Trinidad and Tobago,0.67,Voice and Accountability index,1.418
Tunisia,0.19,Voice and Accountability index,1.929
Turkey,-0.86,Voice and Accountability index,1.338
Turkmenistan,-1.91,Voice and Accountability index,1.413
Tuvalu,1.16,Voice and Accountability index,0.25
United Arab Emirates,-1.19,Voice and Accountability index,1.517
Uganda,-0.82,Voice and Accountability index,1.312
Ukraine,0.08,Voice and Accountability index,1.775
United States,0.9,Voice and Accountability index,1.738
Uruguay,1.3,Voice and Accountability index,1.61
Uzbekistan,-1.4,Voice and Accountability index,1.775
Vanuatu,0.69,Voice and Accountability index,1.054
Venezuela,-1.63,Voice and Accountability index,0.696
Vietnam¬†South Vietnam,-1.3,Voice and Accountability index,0.966
Yemen¬†North Yemen,-1.68,Voice and Accountability index,0.897
Zambia,-0.37,Voice and Accountability index,1.588
Zimbabwe¬†Rhodesia,-1.14,Voice and Accountability index,1.217
Albania,45.95,"GDP (PPP, US$ billion)",0.754
Algeria,535.8,"GDP (PPP, US$ billion)",1.649
Samoa,1.16,"GDP (PPP, US$ billion)",0.556
Andorra,4.64,"GDP (PPP, US$ billion)",0.242
Angola,222.77,"GDP (PPP, US$ billion)",1.522
Antigua and Barbuda,1.96,"GDP (PPP, US$ billion)",1.109
Argentina,1083.36,"GDP (PPP, US$ billion)",1.961
Armenia,43.43,"GDP (PPP, US$ billion)",0.778
Aruba,4.55,"GDP (PPP, US$ billion)",0.8
Australia,1453.55,"GDP (PPP, US$ billion)",2.019
Austria,534.57,"GDP (PPP, US$ billion)",1.649
Azerbaijan,160.9,"GDP (PPP, US$ billion)",0.545
The Bahamas,13.54,"GDP (PPP, US$ billion)",0.889
Bahrain,79.39,"GDP (PPP, US$ billion)",1.385
Bangladesh,1173.85,"GDP (PPP, US$ billion)",0.655
Barbados,4.23,"GDP (PPP, US$ billion)",0.951
Belarus,202.8,"GDP (PPP, US$ billion)",0.818
Belgium,659.25,"GDP (PPP, US$ billion)",1.957
Belize,3.81,"GDP (PPP, US$ billion)",1.034
Benin,47.43,"GDP (PPP, US$ billion)",1.12
Bhutan,8.92,"GDP (PPP, US$ billion)",0.75
Bolivia,106.86,"GDP (PPP, US$ billion)",0.958
Bosnia and Herzegovina,56.65,"GDP (PPP, US$ billion)",1.53
Botswana,42.2,"GDP (PPP, US$ billion)",1
Brazil,3435.87,"GDP (PPP, US$ billion)",2.197
Brunei Darussalam,29.42,"GDP (PPP, US$ billion)",0.375
Bulgaria,178.16,"GDP (PPP, US$ billion)",1.569
Burkina Faso,53,"GDP (PPP, US$ billion)",1.515
Burundi,9.85,"GDP (PPP, US$ billion)",1.182
Cabo Verde,4.33,"GDP (PPP, US$ billion)",1.325
Cambodia,79.32,"GDP (PPP, US$ billion)",0.444
Cameroon,110.89,"GDP (PPP, US$ billion)",2.032
Canada,2024.96,"GDP (PPP, US$ billion)",1.635
Central African Republic,5.02,"GDP (PPP, US$ billion)",0.5
Chad,27.04,"GDP (PPP, US$ billion)",1.111
Chile,526.64,"GDP (PPP, US$ billion)",1.409
Taiwan Province of China,1465.54,"GDP (PPP, US$ billion)",0.333
Colombia,837.39,"GDP (PPP, US$ billion)",1.412
Comoros,2.91,"GDP (PPP, US$ billion)",0.4
Democratic Republic of the Congo,113.07,"GDP (PPP, US$ billion)",1.631
Costa Rica,116.87,"GDP (PPP, US$ billion)",1.743
CÙte d'Ivoire,160.65,"GDP (PPP, US$ billion)",1.917
Croatia,132.62,"GDP (PPP, US$ billion)",2.069
Cyprus,40.38,"GDP (PPP, US$ billion)",0.508
Czech Republic,471.76,"GDP (PPP, US$ billion)",1.823
Denmark,374.03,"GDP (PPP, US$ billion)",1.75
Djibouti,5.97,"GDP (PPP, US$ billion)",0.381
Dominica,0.85,"GDP (PPP, US$ billion)",0.708
Dominican Republic,227.48,"GDP (PPP, US$ billion)",1.273
Ecuador,208.6,"GDP (PPP, US$ billion)",1.242
Egypt,1455.5,"GDP (PPP, US$ billion)",1.901
El Salvador,63.02,"GDP (PPP, US$ billion)",1.519
Equatorial Guinea,25.69,"GDP (PPP, US$ billion)",1.036
Eritrea,6.93,"GDP (PPP, US$ billion)",0.3
Estonia,56.75,"GDP (PPP, US$ billion)",0.75
Eswatini,11.6,"GDP (PPP, US$ billion)",0.81
Ethiopia,312.75,"GDP (PPP, US$ billion)",0.959
Fiji,10.52,"GDP (PPP, US$ billion)",1.304
Finland,296.91,"GDP (PPP, US$ billion)",0.949
France,3358.91,"GDP (PPP, US$ billion)",1.983
Gabon,35.53,"GDP (PPP, US$ billion)",1.286
The Gambia,6.02,"GDP (PPP, US$ billion)",0.923
Georgia,63.04,"GDP (PPP, US$ billion)",0.781
Germany,4888.36,"GDP (PPP, US$ billion)",2.567
Ghana,196.05,"GDP (PPP, US$ billion)",1.725
Greece,344.17,"GDP (PPP, US$ billion)",1.478
Grenada,1.89,"GDP (PPP, US$ billion)",0.931
Guatemala,167.79,"GDP (PPP, US$ billion)",1.492
Guinea,39.2,"GDP (PPP, US$ billion)",1.469
Guinea-Bissau,4.87,"GDP (PPP, US$ billion)",0.95
Guyana,19.98,"GDP (PPP, US$ billion)",0.789
Haiti,36.1,"GDP (PPP, US$ billion)",1.505
Honduras,62.92,"GDP (PPP, US$ billion)",1.53
Hong Kong SAR,488.46,"GDP (PPP, US$ billion)",1.086
Hungary,362,"GDP (PPP, US$ billion)",1.644
Iceland,22.12,"GDP (PPP, US$ billion)",0.966
Indonesia,3566.26,"GDP (PPP, US$ billion)",0.937
Islamic Republic of Iran,1449.33,"GDP (PPP, US$ billion)",2.13
Iraq,447.9,"GDP (PPP, US$ billion)",1.63
Israel,437.08,"GDP (PPP, US$ billion)",1.288
Italy,2734.61,"GDP (PPP, US$ billion)",2.237
Jamaica,29.8,"GDP (PPP, US$ billion)",1.263
Japan,5606.55,"GDP (PPP, US$ billion)",2
Jordan,112.46,"GDP (PPP, US$ billion)",1.436
Kazakhstan,543.44,"GDP (PPP, US$ billion)",0.735
Kenya,276.28,"GDP (PPP, US$ billion)",1.23
Korea,2517.13,"GDP (PPP, US$ billion)",2.126
Kosovo,23.06,"GDP (PPP, US$ billion)",0.333
Kuwait,213.16,"GDP (PPP, US$ billion)",1.703
Kyrgyz Republic,35.26,"GDP (PPP, US$ billion)",1.282
Lao P.D.R.,62.64,"GDP (PPP, US$ billion)",0.464
Latvia,65.59,"GDP (PPP, US$ billion)",0.953
Lesotho,5.85,"GDP (PPP, US$ billion)",0.615
Liberia,7.96,"GDP (PPP, US$ billion)",1
Libya,147.14,"GDP (PPP, US$ billion)",1.339
Lithuania,119.87,"GDP (PPP, US$ billion)",0.864
Luxembourg,83.7,"GDP (PPP, US$ billion)",0.239
Macao SAR,48.59,"GDP (PPP, US$ billion)",0.378
Madagascar,46.45,"GDP (PPP, US$ billion)",1.143
Malawi,32.44,"GDP (PPP, US$ billion)",0.985
Malaysia,971.27,"GDP (PPP, US$ billion)",1.188
Maldives,10.37,"GDP (PPP, US$ billion)",0.75
Mali,51.03,"GDP (PPP, US$ billion)",1.458
Malta,25.81,"GDP (PPP, US$ billion)",0.188
Mauritania,26.94,"GDP (PPP, US$ billion)",0.5
Mauritius,28.16,"GDP (PPP, US$ billion)",0.3
Mexico,2669.06,"GDP (PPP, US$ billion)",2.138
Moldova,39.1,"GDP (PPP, US$ billion)",0.412
Mongolia,42.92,"GDP (PPP, US$ billion)",0.792
Montenegro,14.1,"GDP (PPP, US$ billion)",1.3
Morocco,333.24,"GDP (PPP, US$ billion)",1.79
Mozambique,43.23,"GDP (PPP, US$ billion)",1
Myanmar,238.3,"GDP (PPP, US$ billion)",0.773
Namibia,25.4,"GDP (PPP, US$ billion)",0.94
Nepal,126.44,"GDP (PPP, US$ billion)",0.579
Netherlands,1095.45,"GDP (PPP, US$ billion)",2.17
New Zealand,238.15,"GDP (PPP, US$ billion)",1.882
Nicaragua,42.44,"GDP (PPP, US$ billion)",1.12
Niger,32.93,"GDP (PPP, US$ billion)",1.083
Nigeria,1154.07,"GDP (PPP, US$ billion)",1.946
North Macedonia,37.21,"GDP (PPP, US$ billion)",1.042
Norway,383.37,"GDP (PPP, US$ billion)",1.324
Oman,170.4,"GDP (PPP, US$ billion)",1.568
Pakistan,1332.56,"GDP (PPP, US$ billion)",0.125
Panama,138.81,"GDP (PPP, US$ billion)",1.228
Papua New Guinea,35.15,"GDP (PPP, US$ billion)",1.269
Paraguay,100.9,"GDP (PPP, US$ billion)",1.419
Peru,474.37,"GDP (PPP, US$ billion)",1.137
Philippines,1012.71,"GDP (PPP, US$ billion)",0.897
Poland,1437.81,"GDP (PPP, US$ billion)",1.75
Portugal,379.69,"GDP (PPP, US$ billion)",1.906
Puerto Rico,120.51,"GDP (PPP, US$ billion)",0.966
Qatar,274.25,"GDP (PPP, US$ billion)",1.617
Ireland,570.72,"GDP (PPP, US$ billion)",1.477
Romania,651.64,"GDP (PPP, US$ billion)",1.775
Russia,4494.22,"GDP (PPP, US$ billion)",2.112
Rwanda,33.11,"GDP (PPP, US$ billion)",0.773
Samoa,1.16,"GDP (PPP, US$ billion)",1.077
San Marino,2.22,"GDP (PPP, US$ billion)",0.026
Saudi Arabia,1751.18,"GDP (PPP, US$ billion)",2.022
Senegal,64.81,"GDP (PPP, US$ billion)",1.676
St. Kitts and Nevis,1.38,"GDP (PPP, US$ billion)",1.389
St. Lucia,2.58,"GDP (PPP, US$ billion)",0.917
Serbia,148.68,"GDP (PPP, US$ billion)",2.029
Seychelles,3.14,"GDP (PPP, US$ billion)",0.125
St. Vincent and the Grenadines,1.56,"GDP (PPP, US$ billion)",0.855
Sierra Leone,14.94,"GDP (PPP, US$ billion)",0.957
Singapore,635.27,"GDP (PPP, US$ billion)",0.974
Slovak Republic,193.62,"GDP (PPP, US$ billion)",1.676
Slovenia,93.14,"GDP (PPP, US$ billion)",1.444
Solomon Islands,1.63,"GDP (PPP, US$ billion)",1.368
Somalia,18.9,"GDP (PPP, US$ billion)",0.462
South Africa,868.58,"GDP (PPP, US$ billion)",1.875
South Sudan,11.95,"GDP (PPP, US$ billion)",0.5
Spain,1983.11,"GDP (PPP, US$ billion)",2.296
Sri Lanka,325.84,"GDP (PPP, US$ billion)",0.462
Sudan,194.51,"GDP (PPP, US$ billion)",0.958
Suriname,9.87,"GDP (PPP, US$ billion)",1.159
Sweden,622.83,"GDP (PPP, US$ billion)",1.979
Switzerland,674.01,"GDP (PPP, US$ billion)",1.721
Syria,n/a,"GDP (PPP, US$ billion)",1.52
Taiwan Province of China,1465.54,"GDP (PPP, US$ billion)",1.311
Tajikistan,41.81,"GDP (PPP, US$ billion)",1.341
Tanzania,185.46,"GDP (PPP, US$ billion)",1
Thailand,1343.29,"GDP (PPP, US$ billion)",1.021
Timor-Leste,5.73,"GDP (PPP, US$ billion)",0
Togo,20.18,"GDP (PPP, US$ billion)",1.254
Tonga,0.63,"GDP (PPP, US$ billion)",1
Trinidad and Tobago,37.81,"GDP (PPP, US$ billion)",1.418
Tunisia,138.39,"GDP (PPP, US$ billion)",1.929
T¸rkiye,2953.94,"GDP (PPP, US$ billion)",1.338
Turkmenistan,108.69,"GDP (PPP, US$ billion)",1.413
Tuvalu,0.06,"GDP (PPP, US$ billion)",0.25
Uganda,118.05,"GDP (PPP, US$ billion)",1.312
Ukraine,588.45,"GDP (PPP, US$ billion)",1.775
United Arab Emirates,724.07,"GDP (PPP, US$ billion)",1.517
Uruguay,85.86,"GDP (PPP, US$ billion)",1.61
Uzbekistan,296.69,"GDP (PPP, US$ billion)",1.775
Vanuatu,0.85,"GDP (PPP, US$ billion)",1.054
Venezuela,168.46,"GDP (PPP, US$ billion)",0.696
Vietnam,1134.02,"GDP (PPP, US$ billion)",0.966
Yemen,61.74,"GDP (PPP, US$ billion)",0.897
Zambia,69.25,"GDP (PPP, US$ billion)",1.588
Zimbabwe,36.63,"GDP (PPP, US$ billion)",1.217
